MON timestamp weightedPrice RollingMin RollingMax averPrice stdevPrice coin cash curBalanceCoin curBalanceDollar trades decision
MON 408 3552.95 3642.63 4271.79 3552.95 0 0.0 712.1528722967787 0.20043988018316575 712.1528722967787 6 0
MON 409 3706.05 3544.93 4271.79 3706.05 0 0.0 712.1528722967787 0.19215954244998817 712.1528722967787 6 0
MON 410 3630.68 3544.93 4271.79 3630.68 0 0.0 712.1528722967787 0.19614862017494758 712.1528722967787 6 0
MON 411 3655.01 3544.93 4271.79 3655.01 0 0.0 712.1528722967787 0.19484293402665892 712.1528722967787 6 0
MON 412 3678.56 3544.93 4271.79 3678.56 0 0.0 712.1528722967787 0.1935955570377481 712.1528722967787 6 0
MON 413 3657.84 3544.93 4271.79 3657.84 0 0.0 712.1528722967787 0.19469218782034717 712.1528722967787 6 0
MON 414 3728.57 3544.93 4271.79 3728.57 0 0.0 712.1528722967787 0.1909989278186486 712.1528722967787 6 0
MON 415 3601.01 3544.93 4271.79 3601.01 0 0.0 712.1528722967787 0.19776475830302573 712.1528722967787 6 0
MON 416 3576.03 3544.93 4271.79 3576.03 0 0.0 712.1528722967787 0.1991462242477772 712.1528722967787 6 0
MON 417 3604.58 3544.93 4271.79 3604.58 0 0.0 712.1528722967787 0.19756889077140158 712.1528722967787 6 0
MON 418 3585.12 3539.72 4271.79 3585.12 0 0.0 712.1528722967787 0.19864129298232103 712.1528722967787 6 0
MON 419 3600.87 3539.72 4109.02 3600.87 0 0.0 712.1528722967787 0.1977724472965641 712.1528722967787 6 0
MON 420 3599.77 3539.72 4109.02 3599.77 0 0.0 712.1528722967787 0.19783288162765364 712.1528722967787 6 0
MON 421 3602.46 3539.72 4109.02 3602.46 0 0.0 712.1528722967787 0.1976851574470719 712.1528722967787 6 0
MON 422 3583.97 3539.72 4109.02 3583.97 0 0.0 712.1528722967787 0.19870503165394207 712.1528722967787 6 0
MON 423 3470.45 3539.72 4109.02 3470.45 0 0.0 712.1528722967787 0.20520476373288155 712.1528722967787 6 0
MON 424 3448.12 3439.23 4109.02 3448.12 0 0.0 712.1528722967787 0.20653366828787245 712.1528722967787 6 0
MON 425 3486.18 3400.82 4109.02 3486.18 0 0.0 712.1528722967787 0.20427885889333847 712.1528722967787 6 0
MON 426 3457.79 3400.82 4109.02 3457.79 0 0.0 712.1528722967787 0.20595607954698772 712.1528722967787 6 0
MON 427 3487.95 3400.82 4109.02 3487.95 0 0.0 712.1528722967787 0.204175195257036 712.1528722967787 6 0
MON 428 3521.06 3400.82 4109.02 3521.06 0 0.0 712.1528722967787 0.2022552504918345 712.1528722967787 6 0
MON 429 3464.01 3400.82 4109.02 3464.01 0 0.0 712.1528722967787 0.20558626340477615 712.1528722967787 6 0
MON 430 3459.15 3400.82 4109.02 3459.15 0 0.0 712.1528722967787 0.20587510581986287 712.1528722967787 6 0
MON 431 3466.36 3400.82 4109.02 3466.36 0 0.0 712.1528722967787 0.2054468873102559 712.1528722967787 6 0
MON 432 3413.77 3400.82 4109.02 3413.77 0 0.0 712.1528722967787 0.20861184915702544 712.1528722967787 6 0
MON 433 3399.47 3398.57 4109.02 3399.47 0 0.0 712.1528722967787 0.20948938284402532 712.1528722967787 6 0
MON 434 3666.78 3394.22 4068.4 3666.78 0 0.0 712.1528722967787 0.1942175075397975 712.1528722967787 6 0
MON 435 3671.2 3391.02 4064.07 3671.2 0 0.0 712.1528722967787 0.19398367626301447 712.1528722967787 6 0
MON 436 3690.19 3391.02 3758.53 3690.19 0 0.0 712.1528722967787 0.192985421427292 712.1528722967787 6 0
MON 437 3648.43 3391.02 3758.53 3648.43 0 0.0 712.1528722967787 0.19519433627526875 712.1528722967787 6 0
MON 438 3653.53 3391.02 3758.53 3653.53 0 0.0 712.1528722967787 0.19492186249922094 712.1528722967787 6 0
MON 439 3632.07 3391.02 3758.53 3632.07 0 0.0 712.1528722967787 0.19607355373018104 712.1528722967787 6 0
MON 440 3616.88 3391.02 3758.53 3616.88 0 0.0 712.1528722967787 0.19689701408307123 712.1528722967787 6 0
MON 441 3620.81 3391.02 3758.53 3620.81 0 0.0 712.1528722967787 0.19668330354168784 712.1528722967787 6 0
MON 442 3629.79 3391.02 3758.53 3629.79 0 0.0 712.1528722967787 0.1961967144922375 712.1528722967787 6 0
MON 443 3673.84 3391.02 3758.53 3673.84 0 0.0 712.1528722967787 0.19384428072446777 712.1528722967787 6 0
MON 444 3915.71 3391.02 3758.53 3915.71 0 0.18187068815024063 0.0 0.18187068815024063 712.1528722967787 7 1
MON 445 3947.09 3391.02 3936.67 3947.09 0 0.18187068815024063 0.0 0.18187068815024063 717.8599744909333 7 0
MON 446 3999.82 3391.02 4010.88 3999.82 0 0.18187068815024063 0.0 0.18187068815024063 727.4500158770956 7 0
MON 447 3954.12 3391.02 4010.88 3954.12 0 0.18187068815024063 0.0 0.18187068815024063 719.1385254286295 7 0
MON 448 4005.53 3391.02 4010.88 4005.53 0 0.18187068815024063 0.0 0.18187068815024063 728.4884975064334 7 0
MON 449 4142.53 3391.02 4010.88 4142.53 0 0.18187068815024063 0.0 0.18187068815024063 753.4047817830162 7 0
MON 450 3810.43 3391.02 4166.29 3810.43 0 0.18187068815024063 0.0 0.18187068815024063 693.0055262483214 7 0
MON 451 3882.7 3391.02 4210.64 3882.7 0 0.18187068815024063 0.0 0.18187068815024063 706.1493208809393 7 0
MON 452 3854.36 3391.02 4210.64 3854.36 0 0.18187068815024063 0.0 0.18187068815024063 700.9951055787615 7 0
MON 453 3851.05 3391.02 4210.64 3851.05 0 0.18187068815024063 0.0 0.18187068815024063 700.3931136009842 7 0
MON 454 3854.79 3391.02 4210.64 3854.79 0 0.18187068815024063 0.0 0.18187068815024063 701.073309974666 7 0
MON 455 3859.58 3607.7 4210.64 3859.58 0 0.18187068815024063 0.0 0.18187068815024063 701.9444705709058 7 0
MON 456 3864.42 3607.7 4210.64 3864.42 0 0.18187068815024063 0.0 0.18187068815024063 702.8247247015529 7 0
MON 457 3847.18 3607.7 4210.64 3847.18 0 0.18187068815024063 0.0 0.18187068815024063 699.6892740378427 7 0
MON 458 3761.56 3607.7 4210.64 3761.56 0 0.18187068815024063 0.0 0.18187068815024063 684.1175057184191 7 0
MON 459 3896.38 3607.7 4210.64 3896.38 0 0.18187068815024063 0.0 0.18187068815024063 708.6373118948346 7 0
MON 460 3903.94 3607.7 4210.64 3903.94 0 0.18187068815024063 0.0 0.18187068815024063 710.0122542972504 7 0
MON 461 3911.48 3608.21 4210.64 3911.48 0 0.18187068815024063 0.0 0.18187068815024063 711.3835592859032 7 0
MON 462 3901.13 3615.27 4210.64 3901.13 0 0.18187068815024063 0.0 0.18187068815024063 709.5011976635483 7 0
MON 463 3963.31 3619.18 4210.64 3963.31 0 0.18187068815024063 0.0 0.18187068815024063 720.8099170527302 7 0
MON 464 3951.6 3669.98 4210.64 3951.6 0 0.18187068815024063 0.0 0.18187068815024063 718.6802112944908 7 0
MON 465 3905.23 3733.75 4210.64 3905.23 0 0.18187068815024063 0.0 0.18187068815024063 710.2468674849642 7 0
MON 466 3909.16 3733.75 4210.64 3909.16 0 0.18187068815024063 0.0 0.18187068815024063 710.9616192893947 7 0
MON 467 3906.72 3733.75 4210.64 3906.72 0 0.18187068815024063 0.0 0.18187068815024063 710.517854810308 7 0
MON 468 3924.37 3733.75 4210.64 3924.37 0 0.18187068815024063 0.0 0.18187068815024063 713.7278724561598 7 0
MON 469 3960.91 3733.75 4210.64 3960.91 0 0.18187068815024063 0.0 0.18187068815024063 720.3734274011696 7 0
MON 470 4048.73 3733.75 4210.64 4048.73 0 0.18187068815024063 0.0 0.18187068815024063 736.3453112345237 7 0
MON 471 4025.23 3733.75 4210.64 4025.23 0 0.18187068815024063 0.0 0.18187068815024063 732.0713500629931 7 0
MON 472 4032.51 3733.75 4210.64 4032.51 0 0.18187068815024063 0.0 0.18187068815024063 733.3953686727269 7 0
MON 473 4071.19 3733.75 4210.64 4071.19 0 0.18187068815024063 0.0 0.18187068815024063 740.4301268903781 7 0
MON 474 4087.48 3733.75 4210.64 4087.48 0 0.18187068815024063 0.0 0.18187068815024063 743.3928004003455 7 0
MON 475 4029.33 3733.75 4210.64 4029.33 0 0.18187068815024063 0.0 0.18187068815024063 732.8170198844091 7 0
MON 476 4023.97 3733.75 4210.64 4023.97 0 0.18187068815024063 0.0 0.18187068815024063 731.8421929959237 7 0
MON 477 4035.83 3733.75 4210.64 4035.83 0 0.18187068815024063 0.0 0.18187068815024063 733.9991793573856 7 0
MON 478 4022.17 3733.75 4210.64 4022.17 0 0.18187068815024063 0.0 0.18187068815024063 731.5148257572533 7 0
